title,word_count,character_count,bigrams,lemma,pos,tag,dep,label,context_score,trigger_words,category
May Revolution,2,14,"[('May', 'Revolution')]","['May', 'Revolution']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['DATE', 'DATE']",{'revolution': 1.0},['revolution'],politics
Raid on Batavia (1806),4,22,"[('Raid', 'on'), ('on', 'Batavia'), ('Batavia', '('), ('(', '1806'), ('1806', ')')]","['Raid', 'on', 'Batavia', '1806']","['PROPN', 'ADP', 'PROPN', 'NUM']","['NNP', 'IN', 'NNP', 'CD']","['ROOT', 'prep', 'pobj', 'appos']","['', '', 'GPE', 'DATE']","{'raid': 1.0, 'batavia': 0.09743573616757205}","['raid', 'batavia']",crime
Capture of Bougie,3,17,"[('Capture', 'of'), ('of', 'Bougie')]","['capture', 'of', 'Bougie']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', '']","{'capture': 1.0, 'bougie': 0.054552651803456385}","['capture', 'bougie']",environment
Newfoundland expedition,2,23,"[('Newfoundland', 'expedition')]","['Newfoundland', 'expedition']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['', '']","{'newfoundland': 0.21086222782273767, 'expedition': 1.0}","['newfoundland', 'expedition']",international
Cyclone Glenda,2,14,"[('Cyclone', 'Glenda')]","['Cyclone', 'Glenda']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']","{'cyclone': 1.0, 'glenda': 0.020896990378020567}","['cyclone', 'glenda']",environment
Raid on Pebble Island,4,21,"[('Raid', 'on'), ('on', 'Pebble'), ('Pebble', 'Island')]","['Raid', 'on', 'Pebble', 'Island']","['PROPN', 'ADP', 'PROPN', 'PROPN']","['NNP', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', 'LOC', 'LOC']","{'raid': 1.0, 'pebble': 0.04916003353348935, 'island': 0.4372758836600648}","['raid', 'pebble', 'island']",crime
Tyrolean Rebellion,2,18,"[('Tyrolean', 'Rebellion')]","['tyrolean', 'Rebellion']","['ADJ', 'PROPN']","['JJ', 'NNP']","['amod', 'ROOT']","['ORG', 'ORG']","{'tyrolean': 0.0675505159624214, 'rebellion': 1.0}","['tyrolean', 'rebellion']",crime
Siege of Calvi,3,14,"[('Siege', 'of'), ('of', 'Calvi')]","['siege', 'of', 'Calvi']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', 'PERSON']","{'siege': 1.0, 'calvi': 0.02421355819587572}","['siege', 'calvi']",crime
Siege of Fort St. Jean,5,22,"[('Siege', 'of'), ('of', 'Fort'), ('Fort', 'St.'), ('St.', 'Jean')]","['siege', 'of', 'Fort', 'St.', 'Jean']","['NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN']","['NN', 'IN', 'NNP', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'compound', 'pobj']","['', '', 'FAC', 'FAC', 'FAC']","{'siege': 1.0, 'fort_st': 0.1454687578489377, 'jean': 0.017539784007390757}","['siege', 'fort_st', 'jean']",crime
2010 Under-19 Cricket World Cup,5,31,"[('2010', 'Under-19'), ('Under-19', 'Cricket'), ('Cricket', 'World'), ('World', 'Cup')]","['2010', 'Under-19', 'Cricket', 'World', 'Cup']","['NUM', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'compound', 'ROOT']","['DATE', '', '', 'EVENT', 'EVENT']","{'cricket': 0.23784448192174204, 'world': 1.0, 'cup': 0.8358612738656982}","['cricket', 'world', 'cup']",environment
Operation Eagle Claw,3,20,"[('Operation', 'Eagle'), ('Eagle', 'Claw')]","['Operation', 'Eagle', 'Claw']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['ORG', 'ORG', 'ORG']","{'operation': 1.0, 'eagle': 0.025657644431390576, 'claw': 0.008983075172676696}","['operation', 'eagle', 'claw']",international
2004 Khobar massacre,3,20,"[('2004', 'Khobar'), ('Khobar', 'massacre')]","['2004', 'Khobar', 'massacre']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NN']","['nummod', 'compound', 'ROOT']","['DATE', 'GPE', '']","{'khobar': 0.035649095577614004, 'massacre': 1.0}","['khobar', 'massacre']",crime
Combat of the Côa,4,17,"[('Combat', 'of'), ('of', 'the'), ('the', 'Côa')]","['combat', 'of', 'the', 'Côa']","['NOUN', 'ADP', 'DET', 'PROPN']","['NN', 'IN', 'DT', 'NNP']","['ROOT', 'prep', 'det', 'pobj']","['', '', '', 'ORG']","{'combat': 1.0, 'côa': 0.5058055170230643}","['combat', 'côa']",environment
French Revolution of 1848,4,25,"[('French', 'Revolution'), ('Revolution', 'of'), ('of', '1848')]","['French', 'Revolution', 'of', '1848']","['PROPN', 'PROPN', 'ADP', 'NUM']","['NNP', 'NNP', 'IN', 'CD']","['compound', 'ROOT', 'prep', 'pobj']","['', '', '', '']","{'french': 0.2530596067048927, 'revolution': 1.0}","['french', 'revolution']",politics
Siege of Breda (1624),4,21,"[('Siege', 'of'), ('of', 'Breda'), ('Breda', '('), ('(', '1624'), ('1624', ')')]","['siege', 'of', 'Breda', '1624']","['NOUN', 'ADP', 'PROPN', 'NUM']","['NN', 'IN', 'NNP', 'CD']","['ROOT', 'prep', 'pobj', 'appos']","['', '', '', 'CARDINAL']","{'siege': 1.0, 'breda': 0.01853299693536371}","['siege', 'breda']",crime
Burma Campaign 1944,3,19,"[('Burma', 'Campaign'), ('Campaign', '1944')]","['Burma', 'Campaign', '1944']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'ROOT', 'nummod']","['GPE', '', 'DATE']","{'burma': 0.07715193503311671, 'campaign': 1.0}","['burma', 'campaign']",politics
Battle of Mackinac Island (1814),5,32,"[('Battle', 'of'), ('of', 'Mackinac'), ('Mackinac', 'Island'), ('Island', '('), ('(', '1814'), ('1814', ')')]","['Battle', 'of', 'Mackinac', 'Island', '1814']","['PROPN', 'ADP', 'PROPN', 'PROPN', 'NUM']","['NNP', 'IN', 'NNP', 'NNP', 'CD']","['ROOT', 'prep', 'compound', 'pobj', 'appos']","['', '', 'GPE', 'GPE', 'DATE']","{'battle': 1.0, 'mackinac_island': 0.029882155382896434}","['battle', 'mackinac_island']",politics
Landing at Nadzab,3,17,"[('Landing', 'at'), ('at', 'Nadzab')]","['land', 'at', 'Nadzab']","['VERB', 'ADP', 'PROPN']","['VBG', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', '']","{'landing': 1.0, 'nadzab': 0.3114044814857554}","['landing', 'nadzab']",environment
Braer Storm of January 1993,5,27,"[('Braer', 'Storm'), ('Storm', 'of'), ('of', 'January'), ('January', '1993')]","['Braer', 'Storm', 'of', 'January', '1993']","['PROPN', 'PROPN', 'ADP', 'PROPN', 'NUM']","['NNP', 'NNP', 'IN', 'NNP', 'CD']","['compound', 'ROOT', 'prep', 'pobj', 'nummod']","['PERSON', 'PERSON', '', 'DATE', 'DATE']","{'braer_storm': 1.0, 'january': 0.37714099791081745}","['braer_storm', 'january']",travel
River to River Relay,4,20,"[('River', 'to'), ('to', 'River'), ('River', 'Relay')]","['river', 'to', 'River', 'relay']","['NOUN', 'ADP', 'PROPN', 'NOUN']","['NN', 'IN', 'NNP', 'NN']","['ROOT', 'prep', 'compound', 'pobj']","['', '', '', '']","{'river': 1.0, 'relay': 0.07042170899866194}","['river', 'river', 'relay']",environment
Mummers Parade,2,14,"[('Mummers', 'Parade')]","['Mummers', 'Parade']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['EVENT', 'EVENT']","{'mummers': 0.2970175369712759, 'parade': 1.0}","['mummers', 'parade']",entertainment
Battle of Bunclody,3,18,"[('Battle', 'of'), ('of', 'Bunclody')]","['battle', 'of', 'Bunclody']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART']","{'battle': 1.0, 'bunclody': 0.008540730727941325}","['battle', 'bunclody']",politics
Action of 22 January 1809,5,25,"[('Action', 'of'), ('of', '22'), ('22', 'January'), ('January', '1809')]","['action', 'of', '22', 'January', '1809']","['NOUN', 'ADP', 'NUM', 'PROPN', 'NUM']","['NN', 'IN', 'CD', 'NNP', 'CD']","['ROOT', 'prep', 'nummod', 'pobj', 'nummod']","['', '', 'DATE', 'DATE', 'DATE']","{'action': 1.0, 'january': 0.29908235859268795}","['action', 'january']",international
2006 IIHF World Championship Division I,6,39,"[('2006', 'IIHF'), ('IIHF', 'World'), ('World', 'Championship'), ('Championship', 'Division'), ('Division', 'I')]","['2006', 'IIHF', 'World', 'Championship', 'Division', 'I']","['NUM', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PRON']","['CD', 'NNP', 'NNP', 'NNP', 'NNP', 'PRP']","['nummod', 'compound', 'compound', 'compound', 'ROOT', 'ROOT']","['DATE', '', 'EVENT', 'EVENT', 'EVENT', '']","{'iihf_world': 1.0, 'championship': 0.8385034208148886, 'division': 0.3418000173765858}","['iihf_world', 'championship', 'division']",environment
Hurricane Flossie (2007),3,24,"[('Hurricane', 'Flossie'), ('Flossie', '('), ('(', '2007'), ('2007', ')')]","['Hurricane', 'Flossie', '2007']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'ROOT', 'npadvmod']","['ORG', 'ORG', 'DATE']","{'hurricane': 1.0, 'flossie': 0.015262959823142101}","['hurricane', 'flossie']",travel
Eden Natan-Zada,2,15,"[('Eden', 'Natan-Zada')]","['Eden', 'Natan', 'Zada']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['PERSON', 'PERSON', 'PERSON']","{'eden_natan': 1.0, 'zada': 0.6998641145719926}","['eden_natan', 'zada']",international
Indian Ocean raid,3,17,"[('Indian', 'Ocean'), ('Ocean', 'raid')]","['Indian', 'Ocean', 'raid']","['PROPN', 'PROPN', 'NOUN']","['NNP', 'NNP', 'NN']","['compound', 'compound', 'ROOT']","['LOC', 'LOC', '']","{'indian': 1.0, 'ocean': 0.13033633420372948, 'raid': 0.9383486256085932}","['indian', 'ocean', 'raid']",entertainment
2010 Leinster Senior Football Championship Final,6,48,"[('2010', 'Leinster'), ('Leinster', 'Senior'), ('Senior', 'Football'), ('Football', 'Championship'), ('Championship', 'Final')]","['2010', 'Leinster', 'Senior', 'Football', 'Championship', 'Final']","['NUM', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'compound', 'compound', 'ROOT']","['DATE', '', '', '', '', '']","{'leinster': 0.01795035946200087, 'senior': 0.046660981689405134, 'football': 0.36582823309697005, 'championship': 0.8027987426775991, 'final': 1.0}","['leinster', 'senior', 'football', 'championship', 'final']",sports
Bellator Fighting Championships_ Season Two,5,43,"[('Bellator', 'Fighting'), ('Fighting', 'Championships_'), ('Championships_', 'Season'), ('Season', 'Two')]","['Bellator', 'Fighting', 'Championships', 'season', 'two']","['PROPN', 'PROPN', 'PROPN', 'NOUN', 'NUM']","['NNP', 'NNP', 'NNPS', 'NN', 'CD']","['compound', 'compound', 'ROOT', 'ROOT', 'nummod']","['ORG', 'ORG', 'ORG', '', 'CARDINAL']","{'bellator': 0.033434771381575114, 'fighting': 0.033434771381575114, 'championships': 1.0, 'season': 0.5094689228685961}","['bellator', 'fighting', 'championships', 'season']",sports
U.S. National Yo-Yo Contest,4,27,"[('U.S.', 'National'), ('National', 'Yo-Yo'), ('Yo-Yo', 'Contest')]","['U.S.', 'National', 'Yo', 'Yo', 'Contest']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['compound', 'compound', 'compound', 'compound', 'ROOT']","['GPE', '', '', '', '']","{'u.s': 0.0, 'national': 1.0, 'yo': 0.059912539508454814, 'contest': 0.06488810119399285}","['u.s', 'national', 'yo', 'yo', 'contest']",international
Ortigueira's Festival of Celtic World,5,37,"[('Ortigueira', ""'s""), (""'s"", 'Festival'), ('Festival', 'of'), ('of', 'Celtic'), ('Celtic', 'World')]","['Ortigueira', ""'s"", 'Festival', 'of', 'celtic', 'World']","['PROPN', 'PART', 'PROPN', 'ADP', 'ADJ', 'PROPN']","['NNP', 'POS', 'NNP', 'IN', 'JJ', 'NNP']","['poss', 'case', 'ROOT', 'prep', 'amod', 'pobj']","['ORG', 'ORG', 'ORG', '', '', '']","{'ortigueira_festival': 0.43447793330977813, 'celtic': 0.03723145756326496, 'world': 1.0}","['ortigueira_festival', 'celtic', 'world']",environment
Monmouth Rebellion,2,18,"[('Monmouth', 'Rebellion')]","['Monmouth', 'Rebellion']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['ORG', 'ORG']","{'monmouth': 0.0675505159624214, 'rebellion': 1.0}","['monmouth', 'rebellion']",crime
1979 Gillette Cup Final,4,23,"[('1979', 'Gillette'), ('Gillette', 'Cup'), ('Cup', 'Final')]","['1979', 'Gillette', 'Cup', 'Final']","['NUM', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT', '']","{'gillette_cup': 0.7078652178204703, 'final': 1.0}","['gillette_cup', 'final']",international
Rafah massacre,2,14,"[('Rafah', 'massacre')]","['Rafah', 'massacre']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['PERSON', '']",{'rafah_massacre': 1.0},['rafah_massacre'],crime
Battle of Ostrovo,3,17,"[('Battle', 'of'), ('of', 'Ostrovo')]","['Battle', 'of', 'Ostrovo']","['PROPN', 'ADP', 'PROPN']","['NNP', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', 'GPE']",{'battle_ostrovo': 1.0},['battle_ostrovo'],politics
Battle of San Germano,4,21,"[('Battle', 'of'), ('of', 'San'), ('San', 'Germano')]","['battle', 'of', 'San', 'Germano']","['NOUN', 'ADP', 'PROPN', 'PROPN']","['NN', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', 'GPE', 'GPE']","{'battle': 1.0, 'san_germano': 0.044647086935655965}","['battle', 'san_germano']",politics
Byzantine–Arab wars (780–1180),3,30,"[('Byzantine–Arab', 'wars'), ('wars', '('), ('(', '780–1180'), ('780–1180', ')')]","['byzantine', '–', 'arab', 'war', '780–1180']","['ADJ', 'PUNCT', 'ADJ', 'NOUN', 'NUM']","['JJ', ':', 'JJ', 'NNS', 'CD']","['amod', 'punct', 'amod', 'ROOT', 'appos']","['NORP', '', 'NORP', '', '']","{'byzantine': 0.14404070413387027, 'arab': 0.24355988446775725, 'wars': 1.0}","['byzantine', 'arab', 'wars']",politics
Bodo League massacre,3,20,"[('Bodo', 'League'), ('League', 'massacre')]","['Bodo', 'League', 'massacre']","['PROPN', 'PROPN', 'NOUN']","['NNP', 'NNP', 'NN']","['compound', 'compound', 'ROOT']","['ORG', 'ORG', '']","{'bodo_league': 0.31201658313215974, 'massacre': 1.0}","['bodo_league', 'massacre']",crime
2005 Ahvaz unrest,3,17,"[('2005', 'Ahvaz'), ('Ahvaz', 'unrest')]","['2005', 'Ahvaz', 'unrest']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NN']","['nummod', 'compound', 'ROOT']","['DATE', 'GPE', '']","{'ahvaz': 0.25419690437416637, 'unrest': 1.0}","['ahvaz', 'unrest']",crime
2013 Hong Kong–Shanghai Inter Club Championship,6,47,"[('2013', 'Hong'), ('Hong', 'Kong–Shanghai'), ('Kong–Shanghai', 'Inter'), ('Inter', 'Club'), ('Club', 'Championship')]","['2013', 'Hong', 'Kong', '–', 'Shanghai', 'Inter', 'Club', 'Championship']","['NUM', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', ':', 'NNP', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'appos', 'punct', 'compound', 'compound', 'compound', 'ROOT']","['DATE', 'GPE', 'GPE', '', 'ORG', 'ORG', 'ORG', 'ORG']","{'hong_kong': 0.12642130669925294, 'shanghai': 0.047814689368571944, 'inter_club': 0.08928555112839551, 'championship': 1.0}","['hong_kong', 'shanghai', 'inter_club', 'championship']",sports
Operation Alfa,2,14,"[('Operation', 'Alfa')]","['Operation', 'Alfa']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['ORG', 'ORG']","{'operation': 1.0, 'alfa': 0.011685672724930436}","['operation', 'alfa']",international
White House FBI files controversy,5,33,"[('White', 'House'), ('House', 'FBI'), ('FBI', 'files'), ('files', 'controversy')]","['White', 'House', 'FBI', 'file', 'controversy']","['PROPN', 'PROPN', 'PROPN', 'VERB', 'NOUN']","['NNP', 'NNP', 'NNP', 'VBZ', 'NN']","['compound', 'compound', 'nsubj', 'ROOT', 'dobj']","['ORG', 'ORG', 'ORG', '', '']","{'white_house_fbi': 0.7787328905816098, 'files': 0.15023298852508193, 'controversy': 1.0}","['white_house_fbi', 'files', 'controversy']",politics
Siege of Aleppo (1260),4,22,"[('Siege', 'of'), ('of', 'Aleppo'), ('Aleppo', '('), ('(', '1260'), ('1260', ')')]","['siege', 'of', 'Aleppo', '1260']","['NOUN', 'ADP', 'PROPN', 'NUM']","['NN', 'IN', 'NNP', 'CD']","['ROOT', 'prep', 'pobj', 'appos']","['', '', 'GPE', 'CARDINAL']","{'siege': 1.0, 'aleppo': 0.05423739419911947}","['siege', 'aleppo']",crime
1999 Pro Bowl,3,13,"[('1999', 'Pro'), ('Pro', 'Bowl')]","['1999', 'Pro', 'Bowl']","['NUM', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP']","['nummod', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT']","{'pro': 0.7483223952005359, 'bowl': 1.0}","['pro', 'bowl']",politics
2012 Lamma Island ferry collision,5,33,"[('2012', 'Lamma'), ('Lamma', 'Island'), ('Island', 'ferry'), ('ferry', 'collision')]","['2012', 'Lamma', 'Island', 'ferry', 'collision']","['NUM', 'PROPN', 'PROPN', 'NOUN', 'NOUN']","['CD', 'NNP', 'NNP', 'NN', 'NN']","['nummod', 'compound', 'compound', 'compound', 'ROOT']","['DATE', 'LOC', 'LOC', '', '']","{'lamma_island': 0.6112938540093503, 'ferry': 0.5544919548585309, 'collision': 1.0}","['lamma_island', 'ferry', 'collision']",environment
Kosovo Operation (1944),3,23,"[('Kosovo', 'Operation'), ('Operation', '('), ('(', '1944'), ('1944', ')')]","['Kosovo', 'Operation', '1944']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'ROOT', 'appos']","['EVENT', 'EVENT', 'DATE']","{'kosovo': 0.03990978280386135, 'operation': 1.0}","['kosovo', 'operation']",international
Kandahar massacre,2,17,"[('Kandahar', 'massacre')]","['Kandahar', 'massacre']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['GPE', '']","{'kandahar': 0.042156796137854655, 'massacre': 1.0}","['kandahar', 'massacre']",crime
2009 Nehru Cup,3,14,"[('2009', 'Nehru'), ('Nehru', 'Cup')]","['2009', 'Nehru', 'Cup']","['NUM', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP']","['nummod', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT']","{'nehru': 0.035670385262293026, 'cup': 1.0}","['nehru', 'cup']",sports
Great Offensive,2,15,"[('Great', 'Offensive')]","['Great', 'Offensive']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']","{'great': 0.8087297243706317, 'offensive': 1.0}","['great', 'offensive']",lifestyle
Port Chicago disaster,3,21,"[('Port', 'Chicago'), ('Chicago', 'disaster')]","['Port', 'Chicago', 'disaster']","['PROPN', 'PROPN', 'NOUN']","['NNP', 'NNP', 'NN']","['compound', 'compound', 'ROOT']","['GPE', 'GPE', '']","{'port': 0.2016192563875307, 'chicago': 0.1482411778425375, 'disaster': 1.0}","['port', 'chicago', 'disaster']",environment
Invasion of Martinique (1809),4,29,"[('Invasion', 'of'), ('of', 'Martinique'), ('Martinique', '('), ('(', '1809'), ('1809', ')')]","['Invasion', 'of', 'Martinique', '1809']","['PROPN', 'ADP', 'PROPN', 'NUM']","['NNP', 'IN', 'NNP', 'CD']","['ROOT', 'prep', 'pobj', 'appos']","['', '', '', 'DATE']","{'invasion': 1.0, 'martinique': 0.07238151163421351}","['invasion', 'martinique']",international
Largest Human Flag of India,5,27,"[('Largest', 'Human'), ('Human', 'Flag'), ('Flag', 'of'), ('of', 'India')]","['large', 'human', 'Flag', 'of', 'India']","['ADJ', 'ADJ', 'PROPN', 'ADP', 'PROPN']","['JJS', 'JJ', 'NNP', 'IN', 'NNP']","['amod', 'compound', 'ROOT', 'prep', 'pobj']","['', '', '', '', '']","{'largest': 0.07529275629957172, 'human': 0.07529275629957172, 'flag': 0.1415424941943694, 'india': 1.0}","['largest', 'human', 'flag', 'india']",business
2012 Junior Club World Cup,5,26,"[('2012', 'Junior'), ('Junior', 'Club'), ('Club', 'World'), ('World', 'Cup')]","['2012', 'Junior', 'Club', 'World', 'Cup']","['NUM', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT', 'EVENT', 'EVENT']","{'junior': 0.07120704326246549, 'club': 0.04953472804708105, 'world': 1.0, 'cup': 0.8358612738656982}","['junior', 'club', 'world', 'cup']",environment
Kurnool train crash,3,19,"[('Kurnool', 'train'), ('train', 'crash')]","['Kurnool', 'train', 'crash']","['PROPN', 'NOUN', 'NOUN']","['NNP', 'NN', 'NN']","['compound', 'compound', 'ROOT']","['PERSON', '', '']","{'kurnool': 0.03283771818962297, 'train': 0.54261188057517, 'crash': 1.0}","['kurnool', 'train', 'crash']",crime
Ottoman–Habsburg wars,2,21,"[('Ottoman–Habsburg', 'wars')]","['ottoman', '–', 'habsburg', 'war']","['ADJ', 'PUNCT', 'ADJ', 'NOUN']","['JJ', ':', 'JJ', 'NNS']","['amod', 'punct', 'amod', 'ROOT']","['NORP', '', 'NORP', '']","{'ottoman': 0.14327379877502175, 'habsburg': 0.03587373796737882, 'wars': 1.0}","['ottoman', 'habsburg', 'wars']",politics
1874 Open Championship,3,22,"[('1874', 'Open'), ('Open', 'Championship')]","['1874', 'Open', 'championship']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NN']","['nummod', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT']","{'open': 0.6285584647535257, 'championship': 1.0}","['open', 'championship']",sports
Musique-Cordiale,1,16,[],"['Musique', 'Cordiale']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['ORG', 'ORG']","{'musique': 1.0, 'cordiale': 1.0}","['musique', 'cordiale']",entertainment
1907 Imperial Conference,3,24,"[('1907', 'Imperial'), ('Imperial', 'Conference')]","['1907', 'Imperial', 'Conference']","['NUM', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP']","['nummod', 'compound', 'ROOT']","['DATE', 'ORG', 'ORG']","{'imperial': 0.2777779578839545, 'conference': 1.0}","['imperial', 'conference']",international
Siege of Polotsk (1579),4,23,"[('Siege', 'of'), ('of', 'Polotsk'), ('Polotsk', '('), ('(', '1579'), ('1579', ')')]","['siege', 'of', 'Polotsk', '1579']","['NOUN', 'ADP', 'PROPN', 'NUM']","['NN', 'IN', 'NNP', 'CD']","['ROOT', 'prep', 'pobj', 'appos']","['', '', '', '']","{'siege': 1.0, 'polotsk': 0.01853299693536371}","['siege', 'polotsk']",crime
1926 Miami hurricane,3,20,"[('1926', 'Miami'), ('Miami', 'hurricane')]","['1926', 'Miami', 'hurricane']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NN']","['nummod', 'compound', 'ROOT']","['DATE', 'GPE', '']","{'miami': 0.013361904902857555, 'hurricane': 1.0}","['miami', 'hurricane']",travel
Effects of Hurricane Hazel in Canada,6,36,"[('Effects', 'of'), ('of', 'Hurricane'), ('Hurricane', 'Hazel'), ('Hazel', 'in'), ('in', 'Canada')]","['effect', 'of', 'Hurricane', 'Hazel', 'in', 'Canada']","['NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN']","['NNS', 'IN', 'NNP', 'NNP', 'IN', 'NNP']","['ROOT', 'prep', 'compound', 'pobj', 'prep', 'pobj']","['', '', 'EVENT', 'EVENT', '', 'GPE']","{'effects': 0.01115560716091217, 'hurricane': 1.0, 'hazel': 0.021465610156981414, 'canada': 0.05533794754474155}","['effects', 'hurricane', 'hazel', 'canada']",travel
USAir Flight 405,3,16,"[('USAir', 'Flight'), ('Flight', '405')]","['USAir', 'Flight', '405']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'compound', 'ROOT']","['PRODUCT', 'PRODUCT', 'CARDINAL']","{'usair': 0.013410041193739545, 'flight': 1.0}","['usair', 'flight']",travel
Protests against SOPA and PIPA,5,30,"[('Protests', 'against'), ('against', 'SOPA'), ('SOPA', 'and'), ('and', 'PIPA')]","['protest', 'against', 'SOPA', 'and', 'PIPA']","['NOUN', 'ADP', 'PROPN', 'CCONJ', 'PROPN']","['NNS', 'IN', 'NNP', 'CC', 'NNP']","['ROOT', 'prep', 'pobj', 'cc', 'conj']","['', '', 'ORG', '', '']","{'protests': 1.0, 'sopa': 0.04510040290343261, 'pipa': 0.04510040290343261}","['protests', 'sopa', 'pipa']",politics
Jementah Civil War,3,18,"[('Jementah', 'Civil'), ('Civil', 'War')]","['Jementah', 'Civil', 'War']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['EVENT', 'EVENT', 'EVENT']",{'jementah_civil_war': 1.0},['jementah_civil_war'],politics
"February 5–6, 2010 North American blizzard",6,42,"[('February', '5–6'), ('5–6', ','), (',', '2010'), ('2010', 'North'), ('North', 'American'), ('American', 'blizzard')]","['February', '5–6', '2010', 'North', 'american', 'blizzard']","['PROPN', 'NUM', 'NUM', 'PROPN', 'ADJ', 'NOUN']","['NNP', 'CD', 'CD', 'NNP', 'JJ', 'NN']","['nmod', 'nummod', 'nummod', 'amod', 'amod', 'ROOT']","['DATE', 'DATE', 'DATE', 'NORP', 'NORP', '']","{'february': 0.5462668341247862, 'north': 0.8808657967218165, 'american': 1.0, 'blizzard': 0.3238551319396132}","['february', 'north', 'american', 'blizzard']",international
2010 Varanasi bombing,3,21,"[('2010', 'Varanasi'), ('Varanasi', 'bombing')]","['2010', 'Varanasi', 'bombing']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NN']","['nummod', 'compound', 'ROOT']","['DATE', 'GPE', '']","{'varanasi': 0.027226218585951867, 'bombing': 1.0}","['varanasi', 'bombing']",crime
